Ticket,OpenTime,Action,Size,Symbol,OpenPrice,Unused,Unused,CloseTime,ClosePrice,Unused,Unused,PL,Unused,Unused
1,2016-06-08 08:00:00,Buy,135.842397,ETH_1h_london,$14.72,,,2016-06-08 09:00:00,$14.55,,,$-25.68,,,
2,2016-06-09 14:00:00,Buy,137.240911,ETH_1h_london,$14.57,,,2016-06-10 09:00:00,$14.66,,,$9.74,,,
3,2016-06-15 08:00:00,Buy,107.389908,ETH_1h_london,$18.62,,,2016-06-15 09:00:00,$18.65,,,$0.62,,,
4,2016-07-11 13:00:00,Buy,188.998117,ETH_1h_london,$10.58,,,2016-07-12 09:00:00,$10.81,,,$40.84,,,
5,2016-07-22 08:00:00,Buy,155.007758,ETH_1h_london,$12.90,,,2016-07-22 09:00:00,$13.00,,,$12.89,,,
6,2016-08-26 16:00:00,Buy,178.217476,ETH_1h_london,$11.22,,,2016-08-27 09:00:00,$11.22,,,$-2.60,,,
7,2016-08-30 16:00:00,Buy,180.632347,ETH_1h_london,$11.07,,,2016-08-31 09:00:00,$11.21,,,$22.67,,,
8,2016-09-07 11:00:00,Buy,170.034020,ETH_1h_london,$11.76,,,2016-09-08 09:00:00,$11.66,,,$-19.59,,,
9,2016-09-30 13:00:00,Buy,150.685763,ETH_1h_london,$13.27,,,2016-10-01 09:00:00,$13.20,,,$-13.14,,,
10,2016-10-13 15:00:00,Buy,169.170904,ETH_1h_london,$11.82,,,2016-10-14 09:00:00,$12.03,,,$32.90,,,
11,2016-10-25 08:00:00,Buy,171.639492,ETH_1h_london,$11.65,,,2016-10-25 09:00:00,$11.62,,,$-7.75,,,
12,2016-11-04 08:00:00,Buy,180.306590,ETH_1h_london,$11.09,,,2016-11-04 09:00:00,$11.05,,,$-9.81,,,
13,2016-11-17 14:00:00,Buy,198.965182,ETH_1h_london,$10.05,,,2016-11-18 09:00:00,$9.67,,,$-78.16,,,
14,2016-11-23 08:00:00,Buy,203.211390,ETH_1h_london,$9.84,,,2016-11-23 09:00:00,$9.84,,,$-2.60,,,
15,2016-12-06 16:00:00,Buy,288.959549,ETH_1h_london,$6.92,,,2016-12-07 09:00:00,$7.45,,,$150.45,,,
16,2016-12-27 14:00:00,Buy,276.952920,ETH_1h_london,$7.22,,,2016-12-28 09:00:00,$7.12,,,$-30.28,,,
17,2017-01-05 11:00:00,Buy,189.176923,ETH_1h_london,$10.57,,,2017-01-05 12:00:00,$10.67,,,$16.31,,,
18,2017-01-18 15:00:00,Buy,197.784380,ETH_1h_london,$10.11,,,2017-01-19 09:00:00,$10.27,,,$29.03,,,
19,2017-02-01 15:00:00,Buy,188.998117,ETH_1h_london,$10.58,,,2017-02-02 09:00:00,$10.64,,,$8.73,,,
20,2017-02-26 08:00:00,Buy,147.354464,ETH_1h_london,$13.57,,,2017-02-26 09:00:00,$13.60,,,$1.82,,,
21,2017-03-01 15:00:00,Buy,125.998745,ETH_1h_london,$15.87,,,2017-03-02 09:00:00,$17.41,,,$191.31,,,
22,2017-03-03 15:00:00,Buy,104.200108,ETH_1h_london,$19.19,,,2017-03-04 09:00:00,$19.89,,,$70.29,,,
23,2017-03-10 16:00:00,Buy,109.687333,ETH_1h_london,$18.23,,,2017-03-11 09:00:00,$19.79,,,$168.40,,,
24,2017-03-15 16:00:00,Buy,65.346408,ETH_1h_london,$30.61,,,2017-03-16 09:00:00,$40.50,,,$644.56,,,
25,2017-05-15 15:00:00,Buy,21.570659,ETH_1h_london,$92.72,,,2017-05-16 09:00:00,$90.98,,,$-39.25,,,
26,2017-05-21 14:00:00,Buy,15.260628,ETH_1h_london,$131.06,,,2017-05-21 15:00:00,$134.34,,,$48.34,,,
27,2017-05-24 16:00:00,Buy,10.308280,ETH_1h_london,$194.02,,,2017-05-25 09:00:00,$202.53,,,$85.89,,,
28,2017-07-17 15:00:00,Buy,12.194171,ETH_1h_london,$164.01,,,2017-07-18 09:00:00,$189.96,,,$314.49,,,
29,2017-08-09 12:00:00,Buy,6.931023,ETH_1h_london,$288.56,,,2017-08-10 09:00:00,$299.04,,,$70.82,,,
30,2017-09-28 16:00:00,Buy,6.652693,ETH_1h_london,$300.63,,,2017-09-29 09:00:00,$289.34,,,$-76.86,,,
31,2017-10-12 13:00:00,Buy,6.556281,ETH_1h_london,$305.05,,,2017-10-13 09:00:00,$324.46,,,$125.36,,,
32,2017-11-08 16:00:00,Buy,6.686060,ETH_1h_london,$299.13,,,2017-11-09 09:00:00,$315.11,,,$104.98,,,
33,2018-02-06 16:00:00,Buy,2.691252,ETH_1h_london,$743.15,,,2018-02-07 09:00:00,$776.83,,,$88.82,,,
34,2018-03-05 16:00:00,Buy,2.333256,ETH_1h_london,$857.17,,,2018-03-06 09:00:00,$845.64,,,$-28.69,,,
35,2018-03-12 16:00:00,Buy,2.877247,ETH_1h_london,$695.11,,,2018-03-13 09:00:00,$697.88,,,$6.17,,,
36,2018-04-04 13:00:00,Buy,5.193901,ETH_1h_london,$385.07,,,2018-04-05 09:00:00,$379.67,,,$-29.80,,,
37,2018-04-09 16:00:00,Buy,5.072038,ETH_1h_london,$394.32,,,2018-04-10 09:00:00,$396.71,,,$10.33,,,
38,2018-07-23 16:00:00,Buy,4.336869,ETH_1h_london,$461.16,,,2018-07-24 09:00:00,$471.71,,,$43.90,,,
39,2018-07-25 13:00:00,Buy,4.260905,ETH_1h_london,$469.38,,,2018-07-26 09:00:00,$479.30,,,$40.45,,,
40,2018-08-05 08:00:00,Buy,4.932534,ETH_1h_london,$405.47,,,2018-08-05 09:00:00,$402.82,,,$-14.87,,,
41,2018-08-25 08:00:00,Buy,7.213044,ETH_1h_london,$277.28,,,2018-08-25 09:00:00,$276.94,,,$-4.19,,,
42,2018-09-12 08:00:00,Buy,11.675133,ETH_1h_london,$171.30,,,2018-09-12 09:00:00,$170.31,,,$-13.45,,,
43,2018-09-27 15:00:00,Buy,9.156936,ETH_1h_london,$218.41,,,2018-09-28 09:00:00,$229.95,,,$103.83,,,
44,2018-10-21 08:00:00,Buy,9.798119,ETH_1h_london,$204.12,,,2018-10-21 09:00:00,$204.02,,,$-2.80,,,
45,2018-10-26 16:00:00,Buy,9.990508,ETH_1h_london,$200.19,,,2018-10-27 09:00:00,$201.17,,,$7.98,,,
46,2018-11-27 08:00:00,Buy,18.899812,ETH_1h_london,$105.82,,,2018-11-27 09:00:00,$103.39,,,$-47.74,,,
47,2018-11-27 12:00:00,Buy,19.602001,ETH_1h_london,$102.03,,,2018-11-28 09:00:00,$112.85,,,$210.14,,,
48,2019-01-16 16:00:00,Buy,16.395540,ETH_1h_london,$121.98,,,2019-01-17 09:00:00,$120.83,,,$-20.79,,,
49,2019-01-25 13:00:00,Buy,17.317053,ETH_1h_london,$115.49,,,2019-01-26 09:00:00,$116.47,,,$15.05,,,
50,2019-02-05 15:00:00,Buy,18.887315,ETH_1h_london,$105.89,,,2019-02-06 09:00:00,$101.88,,,$-77.53,,,
51,2019-02-17 13:00:00,Buy,16.197652,ETH_1h_london,$123.47,,,2019-02-18 09:00:00,$135.88,,,$199.09,,,
52,2019-03-01 08:00:00,Buy,14.812950,ETH_1h_london,$135.02,,,2019-03-01 09:00:00,$135.15,,,$0.21,,,
53,2019-03-14 16:00:00,Buy,15.210711,ETH_1h_london,$131.49,,,2019-03-15 09:00:00,$132.44,,,$12.75,,,
54,2019-04-20 16:00:00,Buy,11.569082,ETH_1h_london,$172.87,,,2019-04-21 09:00:00,$171.77,,,$-14.62,,,
55,2019-04-29 15:00:00,Buy,13.236249,ETH_1h_london,$151.10,,,2019-04-30 09:00:00,$155.15,,,$51.77,,,
56,2019-05-12 16:00:00,Buy,10.850291,ETH_1h_london,$184.33,,,2019-05-13 09:00:00,$187.57,,,$33.40,,,
57,2019-05-28 16:00:00,Buy,7.418290,ETH_1h_london,$269.60,,,2019-05-29 09:00:00,$264.38,,,$-40.56,,,
58,2019-05-29 16:00:00,Buy,7.349309,ETH_1h_london,$272.13,,,2019-05-30 09:00:00,$283.14,,,$79.07,,,
59,2019-06-10 15:00:00,Buy,8.230839,ETH_1h_london,$242.99,,,2019-06-11 09:00:00,$246.28,,,$25.28,,,
60,2019-08-06 13:00:00,Buy,8.716652,ETH_1h_london,$229.45,,,2019-08-07 09:00:00,$224.71,,,$-43.11,,,
61,2019-08-23 12:00:00,Buy,10.486680,ETH_1h_london,$190.72,,,2019-08-23 16:00:00,$195.41,,,$47.39,,,
62,2019-09-16 15:00:00,Buy,10.554764,ETH_1h_london,$189.49,,,2019-09-17 09:00:00,$198.66,,,$94.97,,,
63,2019-11-11 11:00:00,Buy,10.739568,ETH_1h_london,$186.23,,,2019-11-12 09:00:00,$185.78,,,$-6.57,,,
64,2019-12-03 16:00:00,Buy,13.488937,ETH_1h_london,$148.27,,,2019-12-04 09:00:00,$145.41,,,$-40.34,,,
65,2019-12-30 16:00:00,Buy,15.362631,ETH_1h_london,$130.19,,,2019-12-31 09:00:00,$131.35,,,$16.13,,,
66,2020-01-07 14:00:00,Buy,14.194648,ETH_1h_london,$140.90,,,2020-01-08 09:00:00,$143.97,,,$41.80,,,
67,2020-01-11 08:00:00,Buy,13.996921,ETH_1h_london,$142.89,,,2020-01-11 09:00:00,$142.73,,,$-4.00,,,
68,2020-01-18 16:00:00,Buy,11.399579,ETH_1h_london,$175.45,,,2020-01-19 09:00:00,$175.78,,,$2.07,,,
69,2020-03-04 08:00:00,Buy,8.823971,ETH_1h_london,$226.66,,,2020-03-04 09:00:00,$226.46,,,$-3.48,,,
70,2020-03-16 14:00:00,Buy,18.324781,ETH_1h_london,$109.14,,,2020-03-17 09:00:00,$117.36,,,$148.66,,,
71,2020-03-23 14:00:00,Buy,15.158821,ETH_1h_london,$131.94,,,2020-03-24 09:00:00,$140.37,,,$126.02,,,
72,2020-04-22 16:00:00,Buy,10.969937,ETH_1h_london,$182.32,,,2020-04-23 09:00:00,$180.02,,,$-26.94,,,
73,2020-04-30 14:00:00,Buy,9.555577,ETH_1h_london,$209.30,,,2020-05-01 09:00:00,$212.90,,,$32.54,,,
74,2020-05-06 15:00:00,Buy,9.613462,ETH_1h_london,$208.04,,,2020-05-07 09:00:00,$204.99,,,$-31.13,,,
75,2020-05-07 16:00:00,Buy,9.673456,ETH_1h_london,$206.75,,,2020-05-08 09:00:00,$209.56,,,$25.34,,,
76,2020-06-17 16:00:00,Buy,8.629381,ETH_1h_london,$231.77,,,2020-06-18 09:00:00,$233.22,,,$10.77,,,
77,2020-06-29 08:00:00,Buy,8.961592,ETH_1h_london,$223.17,,,2020-06-29 09:00:00,$222.58,,,$-7.17,,,
78,2020-07-14 08:00:00,Buy,8.394274,ETH_1h_london,$238.26,,,2020-07-14 09:00:00,$238.22,,,$-2.10,,,
79,2020-09-14 16:00:00,Buy,5.349528,ETH_1h_london,$373.86,,,2020-09-15 09:00:00,$375.65,,,$7.77,,,
80,2020-10-08 16:00:00,Buy,5.719026,ETH_1h_london,$349.71,,,2020-10-09 08:00:00,$348.59,,,$-8.20,,,
81,2020-11-18 15:00:00,Buy,4.246337,ETH_1h_london,$470.99,,,2020-11-19 09:00:00,$469.66,,,$-7.48,,,
82,2020-11-22 13:00:00,Buy,3.792724,ETH_1h_london,$527.33,,,2020-11-23 08:00:00,$581.44,,,$203.36,,,
